Uma partícula com carga negativa $-q$ é lançada com velocidade $\vec{v}$ na direção do eixo $x$ positivo, dentro de um campo magnético uniforme $\vec{B}$ orientado na direção do eixo $y$ positivo. De acordo com a Regra da Mão Direita nº 2, qual a direção e o sentido da força magnética resultante?	Direção do eixo $z$ negativo (entrando no plano)
Quando uma carga elétrica puntiforme é lançada em um campo magnético uniforme com uma velocidade $\vec{v}$ que forma um ângulo $\theta = 180^{\circ}$ com o vetor indução magnética $\vec{B}$, qual será o tipo de movimento descrito por ela?	Movimento Retilíneo Uniforme ($MRU$)
Considere dois fios condutores retos, extensos e paralelos, percorridos por correntes elétricas de intensidades $i_1$ e $i_2$ com sentidos opostos. Qual é a característica da interação magnética entre eles?	Força de repulsão mútua
As substâncias chamadas 'diamagnéticas' apresentam qual comportamento ao serem submetidas a um campo magnético externo de intensidade $B_0$?	O campo resultante $B$ no interior da substância é ligeiramente menor que $B_0$
O que define o conceito de 'Domínios de Weiss' nas substâncias ferromagnéticas?	Regiões onde os spins dos elétrons estão espontaneamente orientados mesmo sem campo externo
Um condutor reto de comprimento $L = 0,5\text{ m}$ é percorrido por uma corrente $i = 4,0\text{ A}$ e está imerso em um campo magnético uniforme de $0,2\text{ T}$. Se o condutor está posicionado paralelamente às linhas de campo, qual a intensidade da força magnética sobre ele?	$0\text{ N}$
Sobre o fenômeno da 'Histerese Magnética', é correto afirmar que:	O processo de desimantação de um material ferromagnético sofre um atraso em relação ao de imantação
O 'Ponto de Curie' do ferro é de aproximadamente $770^{\circ}C$. O que acontece com um prego de ferro ao ultrapassar essa temperatura enquanto está próximo a um ímã?	O prego deixa de ser atraído pelo ímã
Para determinar a direção e o sentido do campo magnético gerado por um fio reto percorrido por corrente, utiliza-se a Regra da Mão Direita nº 1. Qual a principal diferença funcional desta para a Regra da Mão Direita nº 2?	A regra nº 1 determina o campo gerado pela corrente, enquanto a nº 2 determina a força sofrida pela carga
De acordo com o Sistema Internacional de Unidades (SI), qual é a unidade fundamental utilizada para definir o Ampère através da força entre dois condutores paralelos?	Newton ($N$)
