Qual é a expressão matemática da Lei de Faraday-Neumann para a força eletromotriz induzida ($e$) em função da variação do fluxo magnético ($\Phi$)?	$e = -\frac{\Delta \Phi}{\Delta t}$
Por que o núcleo de ferro de um transformador é construído de forma laminada em vez de ser uma peça metálica maciça?	Para reduzir a intensidade das correntes de Foucault e minimizar as perdas de energia por efeito Joule.
No alternador, qual estrutura física permite que a alternância natural da corrente gerada na armadura seja transferida para o circuito externo?	O conjunto de anéis metálicos contínuos soldados aos terminais da armadura e apoiados em escovas.
Qual é a função mecânica do comutador em um dínamo para garantir a geração de corrente contínua (ou pulsante)?	Inverter o terminal da armadura em contato com o circuito externo a cada meia-volta executada.
Como se expressa a razão de transformação em um transformador relacionando as tensões ($U$) e o número de espiras ($N$) do primário ($P$) e secundário ($S$)?	$\frac{U_P}{U_S} = \frac{N_P}{N_S}$
Defina o conceito de 'valor eficaz' ($i_{ef}$) de uma corrente alternada em relação à dissipação de energia térmica.	É a intensidade de uma corrente contínua hipotética que dissiparia a mesma potência em um resistor que a corrente alternada.
Qual é a relação matemática entre a força eletromotriz máxima ($e_{max}$) e a força eletromotriz eficaz ($e_{ef}$) em um sistema de corrente alternada?	$e_{ef} = \frac{e_{max}}{\sqrt{2}}$
Por que a elevação da tensão ($U$) via transformadores é a estratégia mais eficiente para reduzir a potência dissipada ($Pot_d = R \cdot i^2$) em linhas de transmissão?	Porque ao aumentar a tensão, a corrente ($i$) diminui proporcionalmente, reduzindo a perda por calor que depende do quadrado da corrente.
Considere uma espira de área $A$ girando com velocidade angular $\omega$ constante em um campo magnético $B$; qual função descreve a variação do fluxo magnético ($\Phi$) no tempo?	$\Phi = B \cdot A \cdot \cos(\omega t)$
Em um transformador onde a potência se conserva ($Pot_P \approx Pot_S$), qual é a relação de proporcionalidade entre as tensões e as correntes nos enrolamentos?	$U_P \cdot i_P \approx U_S \cdot i_S$
