Qual é a fórmula utilizada para calcular a intensidade da força magnética ($F_m$) que atua sobre uma carga elétrica $q$ movendo-se com velocidade $v$ em um campo magnético uniforme $B$?	$F_m = B \cdot |q| \cdot v \cdot \sin \theta$
Ao utilizar a regra da mão direita nº 2 para determinar a direção e o sentido da força magnética, o que deve representar o polegar?	A direção e o sentido do vetor velocidade ($\vec{v}$)
Se uma partícula carregada penetra em um campo magnético uniforme com velocidade paralela às linhas de indução ($\theta = 0^\circ$ ou $180^\circ$), qual será o seu movimento?	Movimento Retilíneo Uniforme (MRU)
Uma carga negativa (como um elétron) entra em uma região de campo magnético. Como o sentido da força magnética sobre ela se compara ao 'empurrão' da palma da mão na regra da mão direita nº 2?	O sentido da força será exatamente o contrário do empurrão da palma
No Movimento Circular Uniforme (MCU) de uma carga em um campo magnético, a força magnética atua como qual tipo de força resultante?	Força resultante centrípeta
Qual é a fórmula que define o raio ($R$) da trajetória circular de uma partícula de massa $m$ e carga $q$ lançada perpendicularmente a um campo $B$ com velocidade $v$?	$R = \frac{m \cdot v}{B \cdot |q|}$
Sobre o período ($T$) de uma partícula em Movimento Circular Uniforme dentro de um campo magnético, o que se pode afirmar corretamente?	O período independe da velocidade da partícula
O que caracteriza o Movimento Helicoidal Uniforme de uma carga elétrica em um campo magnético?	O lançamento da carga com velocidade oblíqua (ângulo entre $0^\circ$ e $90^\circ$) em relação ao campo
De acordo com o material, qual é a condição para que um elétron atravesse campos elétrico ($E$) e magnético ($B$) cruzados sem sofrer desvio em sua trajetória?	A força elétrica e a força magnética devem ter a mesma intensidade, mesma direção e sentidos opostos
Por que a força magnética não realiza trabalho sobre uma carga em movimento?	Porque a força magnética é sempre perpendicular ao vetor velocidade
