"#","Question","Hint","Option A","Option B","Option C","Option D","Correct Answer","Rationale"
"1","Para que um ouvinte perceba o fenômeno do eco em vez da reverberação no ar, onde a velocidade do som é aproximadamente 340 m/s, qual deve ser a distância mínima entre ele e o obstáculo refletor?","Considere que o som precisa percorrer a distância de ida e volta em um tempo superior à persistência auditiva de 0,1 s.","170 m","7 m","34 m","17 m","D. 17 m","Considerando a persistência auditiva humana de 0,1 s, o som deve percorrer um caminho de ida e volta totalizando no mínimo 34 m para que o eco seja distinguido."
"2","Sobre as ondas sonoras em tubos fechados, qual das seguintes afirmações descreve corretamente a série harmônica produzida?","Lembre-se da condição de contorno que exige um nó na parede do fundo e um ventre na embocadura.","O tubo emite apenas harmônicos de ordem par da frequência fundamental.","O tubo emite a série completa de harmônicos (pares e ímpares).","A frequência do segundo harmônico é o dobro da frequência fundamental.","O tubo emite apenas harmônicos de ordem ímpar da frequência fundamental.","D. O tubo emite apenas harmônicos de ordem ímpar da frequência fundamental.","Devido à restrição de um nó na extremidade fechada e um ventre na aberta, apenas os múltiplos ímpares (f₁, 3f₁, 5f₁, …) são permitidos."
"3","O fenômeno da ressonância ocorre quando um corpo é estimulado por uma fonte externa. Qual condição é necessária para que a amplitude de oscilação desse corpo atinja valores elevados?","Pense no que acontece quando você empurra um balanço no ritmo exato do seu movimento natural.","A frequência da fonte deve ser exatamente o dobro da frequência natural do corpo.","A frequência da fonte deve coincidir com uma das frequências naturais de vibração do corpo.","O corpo deve estar necessariamente no vácuo para vibrar livremente.","A fonte sonora deve emitir um som puramente ultrassônico.","B. A frequência da fonte deve coincidir com uma das frequências naturais de vibração do corpo.","Quando as frequências coincidem, a fonte cede energia progressivamente ao corpo, maximizando a amplitude de oscilação."
"4","De acordo com o texto, como a frequência fundamental de uma corda vibrante é afetada quando seu comprimento é reduzido para a metade, mantendo-se a tração constante?","Considere a relação de proporcionalidade inversa mencionada na seção sobre a guitarra.","A frequência é duplicada.","A frequência é reduzida pela metade.","A frequência é triplicada.","A frequência permanece constante.","A. A frequência é duplicada.","A frequência fundamental de uma corda é inversamente proporcional ao seu comprimento; reduzir o comprimento à metade dobra a frequência."
"5","Em relação às propriedades das ondas sonoras, por que elas não podem sofrer polarização?","A polarização exige que a vibração ocorra em um plano perpendicular à direção de propagação.","Porque são ondas de altíssima frequência.","Porque sua velocidade de propagação é muito baixa no ar.","Porque são ondas longitudinais nos fluidos.","Porque elas sofrem difração com facilidade.","C. Porque são ondas longitudinais nos fluidos.","A polarização é um fenômeno exclusivo de ondas transversais; como o som em fluidos vibra na mesma direção da propagação, ele não pode ser polarizado."
"6","Quando um veículo atinge a velocidade de Mach 1, ocorre a formação da chamada 'barreira do som'. O que fisicamente caracteriza esse fenômeno no nariz do veículo?","Pense no que acontece quando a fonte sonora e a onda emitida se deslocam juntas.","O vácuo absoluto provocado pela alta velocidade.","A conversão de ondas sonoras em ondas eletromagnéticas.","A dispersão total das ondas sonoras para trás do veículo.","Um acúmulo de ondas de pressão que viajam na mesma velocidade do veículo.","D. Um acúmulo de ondas de pressão que viajam na mesma velocidade do veículo.","Como o veículo viaja na mesma velocidade das ondas que produz, elas se sobrepõem na frente do aparelho, criando uma região de altíssima pressão."
"7","Um observador percebe o Efeito Doppler quando há movimento relativo entre ele e uma fonte sonora. Se a fonte se afasta de um observador parado, o que acontece com a frequência percebida?","Relacione o afastamento com a sensação de o som tornar-se mais 'grave' ou 'agudo'.","A frequência percebida é menor que a frequência real emitida.","A frequência percebida é maior que a frequência real emitida.","A frequência percebida permanece inalterada, mudando apenas a intensidade.","A velocidade do som no meio aumenta para compensar o movimento.","A. A frequência percebida é menor que a frequência real emitida.","O afastamento relativo aumenta o intervalo entre as frentes de onda que chegam ao observador, tornando o som mais grave."
"8","A 'tecnologia do silêncio' utilizada em fones de ouvido modernos baseia-se em qual propriedade das ondas sonoras para eliminar ruídos externos?","Imagine o que acontece quando o 'pico' de uma onda encontra o 'vale' de outra onda idêntica.","Refração em meios densos.","Difração por obstáculos.","Ressonância harmônica.","Interferência destrutiva.","D. Interferência destrutiva.","O sistema emite uma onda sonora em oposição de fase ao ruído captado, fazendo com que a superposição das ondas resulte em silêncio."
"9","Sobre a velocidade de propagação do som em diferentes estados da matéria a uma mesma temperatura, qual a ordem correta de velocidade, da menor para a maior?","Considere quão próximas estão as moléculas em cada estado físico para transmitir o movimento.","A velocidade é a mesma em todos os estados, dependendo apenas da frequência.","Gases < Líquidos < Sólidos","Sólidos < Líquidos < Gases","Líquidos < Gases < Sólidos","B. Gases < Líquidos < Sólidos","Nos sólidos, a maior intensidade das ações intermoleculares e a proximidade das moléculas permitem que a onda longitudinal de pressão se propague mais rapidamente."
"10","O sistema auditivo humano médio consegue perceber sons dentro de uma faixa de frequências específica. Sons acima deste limite são chamados de:","O prefixo indica algo que está 'além' ou 'acima' da capacidade comum.","Infrassons.","Sons hipersônicos.","Sons fundamentais.","Ultrassons.","D. Ultrassons.","Frequências superiores a 20.000 Hz estão além da percepção humana e são classificadas como ultrassons."
