Front,Back
"Qual é a natureza das ondas sonoras quanto à necessidade de um meio material para propagação?","Elas são ondas mecânicas e, portanto, não se propagam no vácuo."
"Como são classificadas as ondas sonoras em relação à direção de vibração quando se propagam em fluidos?","São classificadas como ondas longitudinais."
"Quais são as três qualidades fisiológicas que o sistema auditivo humano distingue nos sons?","As qualidades são altura, intensidade e timbre."
"A qual grandeza física a qualidade fisiológica 'altura' do som está diretamente relacionada?","Está relacionada à frequência da onda sonora."
"Como se define um som 'agudo' em termos de sua frequência característica?","É um som que possui uma frequência elevada."
"O que determina a 'intensidade' de uma onda sonora do ponto de vista físico?","A amplitude da onda e a quantidade de energia transportada."
"Qual qualidade sonora permite distinguir a mesma nota musical emitida por fontes ou instrumentos diferentes?","O timbre sonoro."
"Qual é a faixa de frequências convencionalmente audível pelo ouvido humano saudável?","Entre aproximadamente $20\text{ Hz}$ e $20.000\text{ Hz}$."
"Como são denominadas as ondas sonoras com frequências superiores a $20.000\text{ Hz}$?","São denominadas ultrassons."
"Qual é o termo técnico para ondas sonoras com frequências inferiores a $20\text{ Hz}$?","São denominadas infrassons."
"Em qual estado físico da matéria a velocidade de propagação do som é geralmente maior?","No estado sólido."
"Como a temperatura influencia a velocidade do som nos gases perfeitos?","A velocidade aumenta proporcionalmente à raiz quadrada da temperatura absoluta do gás."
"O que representa o 'número de Mach' no estudo da aerodinâmica?","A relação entre a velocidade de um veículo e a velocidade do som no meio circundante."
"O que caracteriza o fenômeno físico conhecido como 'barreira do som'?","O acúmulo de ondas de pressão à frente de um corpo que se desloca na velocidade do som."
"Qual fenômeno sonoro ocorre quando as ondas de choque de um avião supersônico atingem um observador no solo?","Ocorre o fenômeno conhecido como estrondo sônico."
"Qual é o intervalo de tempo da 'persistência auditiva' humana?","O intervalo é de aproximadamente $0,1\text{ s}$."
"O que caracteriza o fenômeno acústico do 'reforço'?","A chegada do som refletido em intervalo quase nulo, fortalecendo a sensação sonora direta."
"Como se define o fenômeno da 'reverberação' em um ambiente?","É o prolongamento do som quando o intervalo entre o som direto e o refletido é menor que $0,1\text{ s}$."
"Qual é a condição temporal necessária para que um ouvinte perceba distintamente o 'eco'?","O intervalo entre a percepção do som direto e do refletido deve ser superior a $0,1\text{ s}$."
"Considerando $v = 340\text{ m/s}$, qual a distância mínima de um anteparo para a ocorrência de eco no ar?","A distância mínima deve ser de $17\text{ metros}$."
"Qual é a utilidade principal do dispositivo sonar em embarcações?","Medir profundidades oceânicas e localizar objetos submersos por meio da reflexão sonora."
"Como a frequência fundamental de uma corda vibrante se relaciona com o seu comprimento?","A frequência é inversamente proporcional ao comprimento da corda."
"Pressionar uma corda na metade de seu comprimento altera a frequência emitida para qual valor relativo?","A frequência emitida torna-se o dobro da frequência original."
"Fórmula: Velocidade ($v$) de uma onda em uma corda com tração ($T$) e densidade linear ($j$).","$v = \sqrt{\frac{T}{j}}$."
"Como se calcula o comprimento de onda ($\lambda_1$) do som fundamental em uma corda de comprimento $L$?","O comprimento de onda fundamental é dado por $\lambda_1 = 2L$."
"Quais harmônicos são passíveis de formação em uma corda fixa em ambas as extremidades?","Todos os harmônicos inteiros da série ($n = 1, 2, 3, \dots$)."
"O que define o fenômeno da 'ressonância' em acústica?","A coincidência entre a frequência de excitação externa e uma frequência natural do sistema."
"Como se determina a frequência de batimento ($f_b$) produzida por duas fontes sonoras próximas?","Pela diferença absoluta entre as frequências das duas fontes ($f_b = |f_2 - f_1|$)."
"Qual é a característica das extremidades de um tubo sonoro aberto em termos de ondas estacionárias?","Apresentam ventres de deslocamento (máximos de vibração) em ambas as pontas."
"Em um tubo sonoro fechado, o que se forma na extremidade obstruída?","Forma-se obrigatoriamente um nó de deslocamento das moléculas de ar."
"Quais harmônicos compõem o espectro sonoro de um tubo fechado em uma extremidade?","Apenas os harmônicos de ordem ímpar ($1^o, 3^o, 5^o, \dots$)."
"O que explica o 'Efeito Doppler'?","A mudança na frequência percebida devido ao movimento relativo entre a fonte sonora e o observador."
"No Efeito Doppler, qual a percepção do observador quando a fonte sonora se afasta?","O observador percebe uma frequência menor que a real (som mais grave)."
"Por que ondas sonoras em meios fluidos não podem sofrer polarização?","Porque a polarização é exclusiva de ondas transversais, e o som em fluidos é longitudinal."
"O que ocorre com a frequência de uma onda sonora ao atravessar a fronteira entre dois meios?","A frequência permanece constante, independente da mudança de meio."
"Por que o som se propaga com maior velocidade em meios sólidos do que em gases?","Devido à maior intensidade das forças intermoleculares e proximidade entre as partículas nos sólidos."
