No roteiro experimental para a construção de um eletroímã doméstico, quais são as duas variáveis principais analisadas para verificar a dependência da força magnética?	A corrente elétrica (número de pilhas) e o número de voltas (espiras) do fio.
Por que é necessário utilizar uma lixa nas pontas do fio de cobre esmaltado antes de conectá-las à pilha ou bateria?	Para remover a camada de esmalte isolante e permitir o contato elétrico.
Segundo o material teórico, qual é a principal vantagem de utilizar 'ferro doce' como núcleo de um eletroímã em vez de aço endurecido?	O ferro doce se desimanta quase instantaneamente quando a corrente elétrica cessa.
No Sistema Internacional de Unidades (SI), qual é a unidade utilizada para medir a intensidade do vetor indução magnética $\vec{B}$?	Tesla ($T$)
Qual fenômeno físico explica o funcionamento de uma campainha elétrica residencial?	A interrupção automática de um circuito através da atração de uma armadura por um eletroímã.
Sobre a inseparabilidade dos polos de um ímã, o que ocorre se cortarmos um ímã em forma de barra exatamente ao meio?	Obteremos dois novos ímãs menores, cada um com seus próprios polos norte e sul.
Como se comportam as linhas de indução magnética em relação a um ímã permanente, na região externa ao material?	Elas saem do polo norte e chegam ao polo sul.
Em relação à tecnologia de trens Maglev, qual é a principal diferença entre a tecnologia alemã e a japonesa conforme descrita no livro?	A alemã utiliza atração de eletroímãs sob o trilho, enquanto a japonesa utiliza repulsão por bobinas supercondutoras.
Se um condutor reto de comprimento $L$ for percorrido por uma corrente $i$ e colocado paralelamente às linhas de indução de um campo magnético uniforme $\vec{B}$, qual será a força magnética sobre ele?	Zero.
O que acontece com a polaridade de um eletroímã se invertermos o sentido da corrente elétrica que percorre suas espiras?	A polaridade magnética do núcleo de ferro também se inverte.
