De acordo com a definição oficial do Sistema Internacional (SI), qual é a intensidade da força magnética mútua que define a unidade de corrente elétrica Ampère ($A$)?	$2 \cdot 10^{-7} \text{ N}$ por metro de comprimento.
Ao utilizar a regra da mão direita nº 2 para determinar o sentido da força magnética em um condutor reto, qual grandeza deve ser representada pelo polegar?	O sentido da corrente elétrica convencional ($i$).
O que ocorre com a força magnética entre dois condutores retos, extensos e paralelos quando as correntes elétricas que os percorrem possuem sentidos opostos?	Os condutores sofrem uma força de repulsão.
Nas substâncias diamagnéticas, como o cobre e o bismuto, qual é a reação microscópica predominante à aplicação de um campo magnético externo ($B_0$)?	A indução de movimentos orbitais que criam um campo de polaridade oposta.
Como se define o comportamento do campo magnético resultante ($B$) no interior de uma substância paramagnética em relação ao campo externo aplicado ($B_0$)?	$B$ é apenas um pouco maior que $B_0$.
Qual é a característica fundamental que permite a certas substâncias ferromagnéticas, como o aço temperado, formarem ímãs permanentes?	A manutenção da orientação dos domínios de Weiss após a remoção do campo externo.
O que representa o 'Ponto de Curie' em relação às propriedades magnéticas da matéria?	A temperatura acima da qual um material perde suas propriedades ferromagnéticas.
No fenômeno da histerese magnética, o que significa o ponto de 'imantação residual' ($B_R$) no gráfico de desimantação?	O valor de imantação que permanece no material mesmo quando o campo externo é nulo.
Um condutor reto de comprimento $L$, percorrido por uma corrente $i$, está imerso em um campo magnético uniforme $B$. Se o condutor for posicionado paralelamente às linhas de indução, qual será a intensidade da força magnética sobre ele?	Zero.
Qual é a principal aplicação prática mencionada no material para o 'ferro doce' em conjunto com bobinas percorridas por corrente elétrica?	A fabricação de eletroímãs.
